,company,description,location,post_date,salary,title,temp,city,temp1,state
112,Knewton,"Work with and learn from the world's best engineers and data scientists. Experience with big data processing using NoSQL techniques like Cassandra, Hadoop, Hive...","New York, NY 10003 (Greenwich Village area)",13 hours ago,,Software Engineer - Big Data,"[u'New York', u' NY 10003 (Greenwich Village area)']",New York,[u' NY 10003 (Greenwich Village area)'],NY
113,The Research Corporation of the University of Hawa...,Educates scientists about Acoustic Doppler Current Profiler (ADCP) data and using UHDAS at sea. Analysis of large observational data sets;...,"Honolulu, HI",7 days ago,,JIMAR Ocn Data ProgAnlyst-Oahu,"[u'Honolulu', u' HI']",Honolulu,[u' HI'],HI
114,Weill Cornell Medical School,"Qualified researchers will work with an array of experts in multiple disciplines including physicians, computer scientists, medical imagers, statisticians,...","New York, NY",5 days ago,,Researcher (Full Time),"[u'New York', u' NY']",New York,[u' NY'],NY
115,ZestFinance,"5+ years managing a team of data scientists. Lead a team of 10+ data scientists in developing high-quality, robust predictive algorithms....","Los Angeles, CA 90028",5 days ago,,"Vice President, Data Science","[u'Los Angeles', u' CA 90028']",Los Angeles,[u' CA 90028'],CA
116,CREhire.com,Categorical Data Analysis. Statistical Analysis / Data Science:. Identifies and independently resolves data issues (such as missing values and invalid data)....,"Bloomingdale, IL",8 days ago,"<nobr>$138,300 a year</nobr>",Principal Statistical Analyst / Data Scientist,"[u'Bloomingdale', u' IL']",Bloomingdale,[u' IL'],IL
117,NYU Langone Medical Center,"Assists with study site recruitment, data collection, participant tracking, intervention delivery, protocol compliance, and accurate data entry....","New York, NY 10016 (Gramercy area)",1 day ago,,Research Data Associate,"[u'New York', u' NY 10016 (Gramercy area)']",New York,[u' NY 10016 (Gramercy area)'],NY
118,Worldwide Clinical Trials,"Extract information from the system during the course of a trial e.g. summaries, data listings, study data sets....","Morrisville, NC 27560",5 days ago,,Statistical Programmer,"[u'Morrisville', u' NC 27560']",Morrisville,[u' NC 27560'],NC
119,Shulman Fleming & Partners,Senior Data Scientist. We are seeking a Senior Data Scientist in New York City. Propose and develop solutions independently and leading a group of other data...,"New York, NY",2 days ago,,Senior Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
120,Direct Client,"Ability to mentor other data scientists and engineers. Ability to work on data mining, data science projects with application engineering, quality engineers and...","San Jose, CA",11 days ago,,Data Scientist 3,"[u'San Jose', u' CA']",San Jose,[u' CA'],CA
121,Guzman Energy,Understanding of algorithms and data structures. Mine and analyze data pertaining to markets and help design statistical models to support trade strategies....,"Coral Gables, FL",5 days ago,,Quantitative Analyst Intern- Paid Internship,"[u'Coral Gables', u' FL']",Coral Gables,[u' FL'],FL
122,U.S. Bank,Perform robust data mining and data analysis across a variety of lending products. Ability and experience in analyzing HMDA data for internal and external...,"Charlotte, NC",13 days ago,,Statistical Analyst,"[u'Charlotte', u' NC']",Charlotte,[u' NC'],NC
123,"Truven Health Analytics, an IBM Company","Work collaboratively with data scientists, clinicians, and other experts to ensure that methodologies meet the stated business requirements....","Ann Arbor, MI",6 hours ago,,Methodologist (Data Analytics SME),"[u'Ann Arbor', u' MI']",Ann Arbor,[u' MI'],MI
124,Integral Ad Science,We are seeking a Senior Data Scientist to join our team in New York City. Drive the collection of new data and the refinement of existing data sources....,"New York, NY 10003 (Greenwich Village area)",25 days ago,,Senior Data Scientist,"[u'New York', u' NY 10003 (Greenwich Village area)']",New York,[u' NY 10003 (Greenwich Village area)'],NY
125,General Dynamics Information Technology,Defines data requirements and gathers and validates information; And evaluate experimental operational models where insufficient data exists to formulate model....,"Groton, CT",9 days ago,,"Sr Analyst, Research","[u'Groton', u' CT']",Groton,[u' CT'],CT
126,Barclays,"Experience of working with advanced modelling data. 5+ years of SAS/SQL experience with ability to manipulate large data sets, automate monthly processes and...","Wilmington, DE 19801",6 days ago,,Data Analysis Lead,"[u'Wilmington', u' DE 19801']",Wilmington,[u' DE 19801'],DE
127,Natera,Data collection and maintenance. Associate degree and/or 2 years minimum data entry/customer service experience....,"Austin, TX 78731",6 days ago,,Clinical Data Reporter,"[u'Austin', u' TX 78731']",Austin,[u' TX 78731'],TX
128,AbbVie,"Build an advanced data mining tool, for API physical properties data assessment. “Agglomeration Data Mining R&D”....","Lake County, IL",30+ days ago,,Postdoc - Postdoctoral Fellow - Agglomeration Data Mining R&...,"[u'Lake County', u' IL']",Lake County,[u' IL'],IL
129,Aetna,"Aetna’s Consumer Health Services Clinical Analytics team is seeking a Lead Data Scientist in either our New York, NY;...","New York, NY 10001 (Chelsea area)",20 days ago,,Lead Data Scientist,"[u'New York', u' NY 10001 (Chelsea area)']",New York,[u' NY 10001 (Chelsea area)'],NY
130,FIRE DEPARTMENT,"Prepare data for processing by organizing information, checking for any inaccuracies and adjusting the data; Identify/analyze relationships and trends in data,...","New York, NY",4 hours ago,,DATA ANALYST,"[u'New York', u' NY']",New York,[u' NY'],NY
131,Becton Dickinson & Company,May present data at national scientific meetings. Presents data at group meetings and Technical Reviews. Tabulates and analyzes experimental data of moderate to...,"San Jose, CA 95131 (North Valley area)",4 days ago,,Senior Scientist,"[u'San Jose', u' CA 95131 (North Valley area)']",San Jose,[u' CA 95131 (North Valley area)'],CA
132,GBP Financial Solutions,"The data scientist will be responsible for developing, implementing, exploring the big data environment, and automating predictive analytical models leveraging...","Fort Lauderdale, FL",24 days ago,,"Data Analyst/Scientist - FT. Lauderdale, FL","[u'Fort Lauderdale', u' FL']",Fort Lauderdale,[u' FL'],FL
133,Udemy,Experience in performing data analysis or building data pipelines in Python. Experience in complex data modeling and application of machine learning algorithms....,"San Francisco, CA",8 days ago,,Sr. Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
134,NYU Langone Medical Center,The individual is responsibile for data collection Will be solely responsible for exporting images and raw image data for further processing....,"New York, NY 10016 (Gramercy area)",1 day ago,,Data Analyst,"[u'New York', u' NY 10016 (Gramercy area)']",New York,[u' NY 10016 (Gramercy area)'],NY
135,Spokeo,Experience with both traditional and distributed data storage systems. This role will focus on collaborating with data engineers to build and enhance our...,"Pasadena, CA",18 days ago,,Data Scientist – Data/Product Analytics,"[u'Pasadena', u' CA']",Pasadena,[u' CA'],CA
136,United Network for Organ Sharing (UNOS),Demonstrated data manipulation and data management skills. Experience in Hadoop/Big Data programming. UNOS is looking for a Data Analyst to provide programming...,"Richmond, VA",12 hours ago,,Data Analyst,"[u'Richmond', u' VA']",Richmond,[u' VA'],VA
137,SKIM,Are you seeking an analytically challenging market research position in a global team? Do you have a strong quantitative background and a passion for,"New York, NY",9 days ago,,Quantitative Research Analyst- Healthcare,"[u'New York', u' NY']",New York,[u' NY'],NY
138,Amazon Corporate LLC,"5+ years in relevant experience as data scientist, software engineer, business intelligence engineer, or equivalent....","New York, NY",28 days ago,,Data Engineer,"[u'New York', u' NY']",New York,[u' NY'],NY
139,Physical Sciences Inc.,Candidates with deep knowledge and demonstrated record of accomplishment in applying statistics-based data analytics algorithms for signature extraction and...,"Boston, MA",21 days ago,,Applied Physicist/Data Analytics,"[u'Boston', u' MA']",Boston,[u' MA'],MA
140,Depuy Orthopaedics. Inc.,"Experience in correcting for partial or distorted data sets and merging and analyzing large, diverse data sources is required....","West Chester, PA",1 day ago,,Data Statistician III,"[u'West Chester', u' PA']",West Chester,[u' PA'],PA
141,Yahoo! Inc.,Our scientists specialize in designing and building scalable and reliable distributed and parallel systems that serve all the aspects of big data like data...,"New York, NY",7 days ago,,Research Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
142,CAPCO,Capco is looking for Senior Data Scientists. And rewarding role as a Senior Data Scientist. A team of data scientists and work with business sponsors and...,"New York, NY 10271 (Financial District area)",4 days ago,,Senior Data Scientist,"[u'New York', u' NY 10271 (Financial District area)']",New York,[u' NY 10271 (Financial District area)'],NY
143,JPMorgan Chase,"Data Scientist - Manager of Experimentation. Proprietary data platforms. They are hands-on, without needing an army of engineers or other data scientists to...","New York, NY",18 days ago,,Data Scientist - Manager of Experimentation,"[u'New York', u' NY']",New York,[u' NY'],NY
144,NBCUniversal,"Serve as a senior data scientist for audience studio data products. You will be part of the Audience Studio Data Technology team, participating in the data...","New York, NY",19 days ago,,"Principal, Data Science","[u'New York', u' NY']",New York,[u' NY'],NY
145,Poise Inc,"Data Scientist | NY*. Our client is looking for a senior data scientist for our first-of-its-kind sales analytics platform, which combines a proprietary, active...","New York, NY",17 days ago,,Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
146,Stitch Fix,"High skill in data visualization (big plus). We want you to innovate our algorithms and better grok the data, leveraging every bit of our data and pioneer...","San Francisco, CA",23 days ago,,Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
147,MarkMonitor,"Data skills (SQL, Hive, Pig). Applying machine learning to classification problems on unstructured data. MarkMonitor&mdash;the world leader in brand protection...","San Francisco Bay Area, CA",21 days ago,"<nobr>$180,000 a year</nobr>",Data Scientist,"[u'San Francisco Bay Area', u' CA']",San Francisco Bay Area,[u' CA'],CA
148,CareWorks Tech,Have joint accountability with data stewards and data architects on the projects to ensure conformance to enterprise data governance policies around information...,"Columbus, OH",28 days ago,,"Data Analytics | Modeling, Profiling, Mapping, MDM, Governan...","[u'Columbus', u' OH']",Columbus,[u' OH'],OH
149,Empiric Solutions,"Professional experience as a data scientist, quantitative analyst, senior scientist or a related software engineering role. Te – Chief Scientist*....","New York, NY",2 days ago,,Chief Data Scientist - Finance Technology,"[u'New York', u' NY']",New York,[u' NY'],NY
150,Jet,"Extract and transform data from existing data stores, perform ad-hoc analyses, and report analysis results. Solid data management and statistical programming...","Hoboken, NJ",30+ days ago,,"Data Scientist, Operations","[u'Hoboken', u' NJ']",Hoboken,[u' NJ'],NJ
151,Texas A&M AgriLife,Coordinate data collection for research activities and collaborations with other scientists or research centers....,"Temple, TX",1 day ago,,Assistant Research Scientist,"[u'Temple', u' TX']",Temple,[u' TX'],TX
152,Berg Health,Perform meticulous and well thought-out data analysis for hypothesis testing on healthcare big data. Detailed documentation of data analysis methods and...,"Framingham, MA",24 days ago,,Data Scientist - Healthcare Analytics,"[u'Framingham', u' MA']",Framingham,[u' MA'],MA
